INACAP;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Asignaturas Críticas (Req 719831 );;;;;;;;;;;;;;;;;;;;;;;;;;;
Fecha de Consulta: 30-01-2026 15:20;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
PERIODO;ZONA;SEDE;CODIGO ASIGNATURA;ASIGNATURA;AREA;COD PE;PROGRAMA;COD MENCION;MENCION;PLAN;INSTITUCION;JORNADA;NIVEL;PREREQUISITO SEMESTRE SIGUIENTE;ULTIMO NIVEL;SECCIONES;ALUMNOS;PROMEDIO NOTA UNO;PROMEDIO NOTA DOS;PROMEDIO NOTA TRES;ALUMNOS EN RIESGO;PORCENTAJE REPROBACION N1;PORCENTAJE REPROBACION N2;PORCENTAJE REPROBACION N3;AYUDANTIA VIRTUAL;AYUDANTIA SEDE;ALUMNOS AYUDANTIA
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AABD01;Business Analytics;Administración;IAD;Ingeniería en Administración de Empresas;IAD;SIN MENCIÓN;IAD-IAD-1;I.P.;VESPERTINA;8;0;SI;1;17;6.5;6.3;6.5;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AACE01;Taller de Consultoría Empresarial;Administración;IAD;Ingeniería en Administración de Empresas;IAD;SIN MENCIÓN;IAD-IAD-1;I.P.;VESPERTINA;8;0;SI;1;16;6.3;6.4;6.3;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AAFN01;Estados Financieros;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-3;C.F.T.;VESPERTINA;4;0;SI;1;2;4.6;5.1;4.5;1;;16.7;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;AATA01;Taller de Asistencia Empresarial;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-3;C.F.T.;VESPERTINA;4;0;SI;1;1;5.5;6;6.5;0;;10;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ABC302;Producción Frutales;Agroindustria y Medioambiente;88;Ingeniería Agrícola;885;Sin Mención;88-885-3;I.P.;DIURNA;4;1;NO;1;27;6.8;5.9;3.7;0;;14.3;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ACTA01;Taller de Asistencia Contable;Administración;47;Contabilidad General;470;SIN MENCIÓN;47-470-6;C.F.T.;VESPERTINA;4;0;SI;1;0;;;;0;;0;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ACTR02;Taller de Tributación Renta;Administración;47;Contabilidad General;470;SIN MENCIÓN;47-470-6;C.F.T.;VESPERTINA;4;0;SI;1;0;;;;0;;12.5;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ADA401;Marketing;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-4;C.F.T.;DIURNA;2;0;NO;1;29;6;6.5;6.4;1;;13;;0;NO;0
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ADB401;Finanzas;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-4;C.F.T.;DIURNA;2;0;NO;4;117;4.2;4.1;4.8;62;;41.7;;0;SI;87
PRIMAVERA 2025;Zona Austral;COYHAIQUE;ADC404;Contabilidad;Administración;AE;Administración de Empresas;AE0;Sin Mención;AE-AE0-4;C.F.T.;DIURNA;2;1;NO;2;46;5.5;3.4;4;8;;13;;0;SI;18
